,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE  ,,,,,,,,,,,,,,,,,,,,
MINISTERE DE LA SANTE DE LA POPULATION ET DE LA REFORME HOSPITALIERE,,,,,,,,,,,,,,,,,,,,
DIRECTION GENERALE DE LA PHARMACIE ET DES EQUIPEMENTS DE SANTE,,,,,,,,,,,,,,,,,,,,
DIRECTION DES PRODUITS PHARMACEUTIQUES - SOUS DIRECTION DE L'ENREGISTREMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOMENCLATURE NATIONALE DES PRODUITS PHARMACEUTIQUES A USAGE DE LA MEDECINE HUMAINE AU 31 DECEMBRE 2019  ( 3412 DE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL ,DATE D'ENREGISTREMENT  FINAL ,TYPE,STATUT,DUREE DE STABILITE,,
365,055/ 06 M 225 /08/13,06 M 225 ,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,LIPODAR 20,COMPRIME PELLICULE ,20MG,B/30,Liste I,HOP,OFF,,DAR AL DAWA DEVELOPMENT & INVESTMENT Co Ltd ,JORDANIE,5/31/2008,4/2/2013,Gé,Fprémix,,,
366,149/ 06 M 225 /15,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,NOVATHOR,COMPRIME PELLICULE ,20MG,PILULIER/30,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,1/18/2015,1/18/2015,Gé,F,36  MOIS,,
367,149/ 06 M 232 /14,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,NOVATHOR,COMPRIME PELLICULE ,40MG ,PILULIER/30,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,4/1/2014,10/6/2016,Gé,F,36 MOIS,,
368,149/ 06 M 233 /14,06 M 233,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,NOVATHOR,COMPRIME PELLICULE ,80MG ,PILULIER/30,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,4/1/2014,4/1/2014,Gé,F,36MOIS,,
369,177/ 06 M 225 /06/12,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,TARDEN,COMP. PELLI. SEC.,20MG,B/30,Liste I,HOP,OFF,,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.Ş,TURQUIE,7/30/2006,7/19/2016,Gé,F,24MOIS,,
370,177/ 06 M 232 /08/13,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,TARDEN,COMP.PELLI.SEC.,40MG,B/30,Liste I,HOP,OFF,,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S,TURQUIE,1/19/2008,3/20/2013,Gé,F,,,
371,190/06 M 225/17,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,LIPOVAST 20,COMPRIME PELLICULE ,20MG,B/30,Liste I,HOP,OFF,,SPIMACO ADDAWAEH,ARABIE SAOUDITE,5/28/2017,5/28/2017,Gé,F,24 MOIS,,
372,190/06 M 232/17,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,LIPOVAST ,COMPRIME PELLICULE ,40MG,B/30,Liste I,HOP,OFF,,SPIMACO ADDAWAEAH,ARABIE SAOUDITE,5/28/2017,5/28/2017,GE,F,24 MOIS,,
373,195/ 06 M 225 /13,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATORVASTATINE IVAL,COMPRIME PELLICULE ,20MG,B/28,Liste I,HOP,OFF,,PHARMA IVAL,ALGERIE,5/29/2013,5/29/2013,Gé,F,,,
374,268/ 06 M 225 /12,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,VASKOL 20,COMPRIME PELLICULE ,20MG,B/30,Liste I,HOP,OFF,,MERINAL,ALGERIE,3/20/2012,3/20/2012,Gé,Fprémix,36 MOIS,,
375,293/06 M 225/17,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,LIPICARE,COMPRIME PELLICULE ,20MG,B/28 ET B/30 ET B/90,Liste I,HOP,OFF,,BIOCARE SARL,ALGERIE,6/18/2017,6/18/2017,GE ,F,24 MOIS,,
376,293/06 M 232/17,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,LIPICARE,COMPRIME PELLICULE ,40MG,B/28 ET B/30 ET B/90,Liste I,HOP,OFF,,BIOCARE SARL,ALGERIE,6/18/2017,6/18/2017,GE ,F,24 MOIS,,
377,293/06 M 233/17,06 M 233,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,LIPICARE,COMPRIME PELLICULE ,80MG,B/28 ET B/30 ET B/90,Liste I,HOP,OFF,,BIOCARE SARL,ALGERIE,6/12/2017,6/12/2017,GE ,F,24 MOIS,,
378,309/ 06 M 225 /16,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATORVASTATINE LDM,COMPRIME PELLICULE ,20MG,B/30,Liste I,HOP,OFF,,LDM ,ALGERIE,2/15/2016,2/15/2016,Gé,F,24MOIS ,,
379,309/ 06 M 232 /16,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATORVASTATINE LDM,COMPRIME PELLICULE ,40MG ,B/30,Liste I,HOP,OFF,,LDM ,ALGERIE,2/16/2016,2/16/2016,Gé,F,24MOIS ,,
380,309/06 M 233/17,06 M 233,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATORVASTATINE LDM,COMPRIME PELLICULE ,80MG,B/30,Liste I,HOP,OFF,,LDM,ALGERIE,5/28/2017,5/28/2017,G,F,24 MOIS,,
381,317/ 06 M 233 /12,06 M 233,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATOR,COMPRIME PELLICULE ,80MG,B/28,Liste I,HOP,OFF,,INPHA-MEDIS SPA,ALGERIE,10/15/2012,10/15/2012,Gé,F,,,
382,317/06 M 232 /11/16,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATOR 40MG,COMPRIME PELLICULE ,40MG,B/28,Liste I,HOP,OFF,,INPHA-MEDIS,ALGERIE,5/4/2011,11/9/2016,Gé,F,36MOIS,,
383,352/ 06 M 225 /12,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,AROVAN,COMPRIME PELLICULE ,20MG,B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,9/25/2012,9/25/2012,Gé,F,,,
384,352/ 06 M 232 /13/18,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,AROVAN,COMPRIME PELLICULE ,40MG,B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,3/26/2013,4/2/2018,Gé,F,36 MOIS,,
385,352/ 06 M 233 /13/18,06 M 233 ,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,AROVAN,COMPRIME PELLICULE ,80MG,B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,6/11/2013,6/16/2018,Gé,F,36 MOIS,,
386,380/06 M 225/16,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,TORVASTATINE,COMPRIME PELLICULE ,20MG,B/30,Liste I,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,11/15/2016,11/15/2016,Gé,F,24MOIS,,
387,380/06 M 232/16,06M 232 ,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,TORVASTATINE,COMPRIME PELLICULE ,40MG,B/30,Liste I,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,11/9/2016,11/9/2016,Gé,F,24MOIS,,
388,380/06 M 233/17,06 M 233,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,TORVASTATINE,COMPRIME PELLICULE ,80MG,B/30,Liste I,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,1/9/2017,1/9/2017,Gé,F,24 MOIS ,,
389,447/ 06 M 225 /11/16,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATORIN 20MG,COMPRIME PELLICULE ,20MG,B/30 ET B/90,Liste I,HOP,OFF,,BEKER SARL (SARL LABORATOIRE BEKER ALGERIE),ALGERIE,5/18/2011,9/5/2016,Gé,F,24 MOIS,,
390,447/06 M 232/11/16,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATORIN 40MG,COMPRIME PELLICULE ,40MG,B/30 ET B/90,Liste I,HOP,OFF,,BEKER SARL (SARL LABORATOIRE BEKER ALGERIE),ALGERIE,5/18/2011,11/8/2016,Gé,F,24 MOIS,,
391,447/06 M 233/11/16,06 M 233,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATORIN 80MG,COMPRIME PELLICULE ,80MG,B/30 ET B/90,Liste I,HOP,OFF,,BEKER SARL (SARL LABORATOIRE BEKER ALGERIE),ALGERIE,5/18/2011,12/4/2016,Gé,F,,,
392,468/ 06 M 225 /15,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,LIPOSTATINE,COMPRIME PELLICULE ,20MG,B/30,Liste I,HOP,OFF,,NADPHARMADIC PRODUCTION SARL,ALGERIE,1/18/2015,1/18/2015,Gé,Fprémix,24 MOIS,,
393,472/ 06 M 225 /15,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATORVASTATINE GEBER,GELULE,20MG,B/30,Liste I,HOP,OFF,,GEBER HEALTH EURL,ALGERIE,1/18/2015,1/18/2015,Gé,Fprémix,24 MOIS,,
394,492/06 M 225/17,06 M 225,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,LIPONIL 20,COMPRIME PELLICULE ,20MG,B/30,Liste I,HOP,OFF,,SOPRODIM,ALGERIE,5/2/2017,5/2/2017,Gé,F,24 MOIS,,
395,492/06 M 232/17,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,LIPONIL 40,COMPRIME PELLICULE ,40MG,B/30,Liste I,HOP,OFF,,SOPRODIM SPA,ALGERIE,6/12/2017,6/12/2017,GE,F,24 MOIS,,
396,521 / 06 M 232 /14,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,ATORVASTATINE IVAL,COMPRIME PELLICULE ,40MG ,B/28,Liste I,HOP,OFF,,SARL WORLD MEDECINE LIMITED,ALGERIE,7/27/2014,7/27/2014,Gé,F,24 MOIS,,
397,035/ 06 M 198 /13,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,TEOLAR,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,7/31/2013,7/31/2013,Gé,F,36 MOIS,,
398,055/ 06 M 198 /08/13,06 M 198 ,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,LIPODAR 10,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,DAR AL DAWA DEVELOPMENT & INVESTMENT Co Ltd ,JORDANIE,5/31/2008,4/7/2013,Gé,Fprémix,,,
399,149/ 06 M 198 /13,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,NOVATHOR,COMPRIME PELLICULE ,10MG,PILULIER DE 30,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,10/27/2013,10/27/2013,Gé,F,36 MOIS,,
400,177/ 06 M 198 /06/12,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,TARDEN,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.Ş,TURQUIE,7/30/2006,12/5/2012,Gé,F,,,
401,190/06 M 198/17,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,LIPOVAST 10,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,SPIMACO ADDAWAEH,ARABIE SAOUDITE,5/28/2017,5/28/2017,Gé,F,24 MOIS,,
402,195/ 06 M 198 /07/12,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,ATORVASTATINE IVAL,COMPRIME PELLICULE ,10MG,B/28,Liste I,HOP,OFF,,PHARMA IVAL,ALGERIE,5/12/2007,8/26/2012,Gé,F,,,
403,268/ 06 M 198 /08/15,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,VASKOL 10,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,MERINAL,ALGERIE,12/23/2008,6/24/2015,Gé,Fprémix,36 MOIS,,
404,293/06 M 198/17,06 M 198 ,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,LIPICARE,COMPRIME PELLICULE ,10MG,B/28 ET B/30 ET B/90,Liste I,HOP,OFF,,BIOCARE SARL,ALGERIE,6/18/2017,6/18/2017,Gé,F,24 MOIS,,
405,309/ 06 M 198 /16,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,ATORVASTATINE LDM ,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,LDM ,ALGERIE,3/13/2016,3/13/2016,Gé,F,24MOIS,,
406,317/06 M 198/10/16,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,ATOR 10MG,COMPRIME PELLICULE ,10MG,B/28 ,Liste I,HOP,OFF,,INPHA-MEDIS,ALGERIE,5/10/2010,11/9/2016,Gé,F,36 MOIS,,
407,352/ 06 M 198 /12,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,AROVAN,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,9/25/2012,9/25/2012,Gé,F,,,
408,380/06 M 198/16,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,TORVASTATINE,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,10/19/2016,10/19/2016,Gé,F,24MOIS,,
409,447/ 06 M 198 /11/16,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,ATORIN 10MG,COMPRIME PELLICULE ,10MG, B/30 ET B/90,Liste I,HOP,OFF,,BEKER SARL (SARL LABORATOIRE BEKER ALGERIE),ALGERIE,5/18/2011,9/5/2016,Gé,F,24MOIS ,,
410,468/ 06 M 198 /14,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,LIPOSTATINE,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,NADPHARMADIC PRODUCTION SARL,ALGERIE,11/2/2014,11/2/2014,Gé,Fprémix,24 MOIS,,
411,470/ 06 M 198 /14,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,ATORVASTATINE MM,COMPRIME PELLICULE , 10MG ,B/30,LISTE I,HOP,OFF,,LABORATOIRES MM,ALGERIE,3/19/2014,3/19/2014,Gé,F,,,
412,472/ 06 M 198 /15,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,ATORVASTATINE GEBER,GELULE,10MG,B/30,Liste I,HOP,OFF,,GEBER HEALTH EURL,ALGERIE,1/18/2015,1/18/2015,Gé,Fprémix,24 MOIS,,
413,472/ 06 M 232 /15,06 M 232,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,ATORVASTATINE GEBER,GELULE,40MG,B/30,Liste I,HOP,OFF,,GEBER HEALTH EURL,ALGERIE,2/10/2015,2/10/2015,Gé,Fprémix,24 MOIS,,
414,492/06 M 198/17,06 M 198,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,LIPONIL,COMPRIME PELLICULE ,10MG,B/30,Liste I,HOP,OFF,,SOPRODIM SPA,ALGERIE,5/7/2017,5/7/2017,Gé,F,24 MOIS,,
415,275/ 11 B 087 /15,11 B 087,ATOSIBAN ACETATE EXPRIME EN ATOSIBAN,TRACTOCILE,SOL. INJ. IV.,"7,5MG/ML (6,75MG/0,9ML)","B/01 FL. DE 0,9ML",Liste I,HOP,,,FERRING PHARMACEUTICALS A/S,DANEMARK,9/22/2015,9/22/2015,Ré,I,48 MOIS,,
416,275/ 11 B 088 /15,11 B 088,ATOSIBAN ACETATE EXPRIME EN ATOSIBAN,TRACTOCILE,SOL. A DILUER P. PERF. IV,"7,5MG/ML (37,5MG/5ML)",B/01 FL. DE 5ML,Liste I,HOP,,,FERRING PHARMACEUTICALS A/S,DANEMARK,9/22/2015,9/22/2015,Ré,I,48 MOIS,,
417,001/ 02 D 047 /05/13,02 D 047,ATRACURIUM BESYLATE,ATACURE,SOL. INJ. IV,10MG/ML (50MG/5ML),B/05AMP DE 5ML,Liste I,HOP,,,HIKMA PHARMACEUTICALS,JORDANIE,10/19/2005,5/2/2013,Gé,I,24 MOIS,,
418,165/ 17 H 057 /98,17 H 057,ATROPINE,APITROPIN,COLLYRE ,0.5%,FL/10ML,Liste I,HOP,OFF,,AMMAN PHARMACEUTICAL INDUSTRIE,JORDANIE,10/7/1998,10/7/1998,Gé,I,,,
419,165/ 17 H 058 /98,17 H 058,ATROPINE,APITROPIN,COLLYRE ,1%,FL/10ML,Liste I,HOP,OFF,,AMMAN PHARMACEUTICAL INDUSTRIE,JORDANIE,10/7/1998,10/7/1998,Gé,I,,,
420,012/ 17 H 057 /99/13,17 H 057,ATROPINE (SULFATE) EXPRIME EN ATROPINE,CROPINE,COLLYRE ,0.5%,FL/15ML,Liste I,HOP,OFF,,FARMACEUTICI CROVIS PH. IL. COM SRL,ITALIE,11/9/1999,10/27/2013,Gé,I,,,
421,012/ 17 H 058 /99/13,17 H 058,ATROPINE (SULFATE) EXPRIME EN ATROPINE,CROPINE,COLLYRE ,1%,FL/15ML,Liste I,HOP,OFF,,FARMACEUTICI CROVIS PH. IL. COM SRL,ITALIE,11/9/1999,10/27/2013,Gé,I,,,
422,045/ 05 C 214 /19,05 C 214,Axitinib,INLYTA,COMPRIME PELLICULE ,1 MG,B/56,Liste I,HOP,,,PFIZER AG,SUISSE,3/24/2019,3/24/2019,Ré,I,36 MOIS,,
423,045/ 05 C 215 /19,05 C 215,Axitinib,INLYTA,COMPRIME PELLICULE ,5 MG,B/56,Liste I,HOP,,,PFIZER AG,SUISSE,3/17/2019,3/17/2019,Ré,I,36 MOIS,,
424,506/05 G 185/16,05 G 185,AZACITIDINE,VIDAZA,PDRE P. SUSP. INJ S/C,25 MG/ML,B/1 FL,LISTE I,HOP,,,CELGENE EUROPE LIMITED,ROYAUME UNI,3/5/2017,3/5/2017,Ré,I,48 MOIS,,
425,536/05 G 185/17,05 G 185,AZACITIDINE,WINDUZA,PDRE LYOPHILISEE P. SUSP. INJ ,25 MG/ML ( 100 MG/FL ),B/1 FL,LISTE I,HOP,,,"DR ,REDY'S LABORAOIRES LIMITED ",INDE,11/5/2017,11/5/2017,GE,I,24 MOIS,,
426,450/ 05 B 043 /06/15,05 B 043,AZATHIOPRINE,AZATHIOPRINE MYLAN,COMP. PELLI. SEC.,50MG,B/100,Liste I,HOP,OFF,,MYLAN SAS,FRANCE,10/28/2006,3/18/2015,Gé,I,36 MOIS,,
427,467/ 05 B 043 /99/12,05 B 043,AZATHIOPRINE,IMUREL,COMPRIME PELLICULE ,50MG,B/100,Liste I,HOP,OFF,,ASPEN PHARMA TRADING LIMITED,IRLANDE,9/18/1999,12/23/2012,Ré,I,60 MOIS,,
428,022/17 D 164/09/16,17 D 164,Azithromycine Dihydratee Exprimee En Azithromycine,AZYTER,COLLYRE EN SOLUTION EN RECIPIENT UNIDOSE,15 MG/G,B/06RECIPIENTS UNIDOSES SOUS SACHET,Liste I,HOP,OFF,,THEA,FRANCE,12/6/2009,9/11/2016,Ré,I,18 MOIS,,
429,035/ 13 E 176 /15,13 E 176,Azithromycine Dihydratee Exprimee En Azithromycine,ZOTRIX,COMPRIME PELLICULE ,250MG,B/06,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,6/24/2015,6/24/2015,Gé,F,24 MOIS,,
430,035/ 13 E 177 /15,13 E 177,Azithromycine Dihydratee Exprimee En Azithromycine,ZOTRIX,PDRE. P. SUSP. BUV.,40MG/ML,"B/01 FL. DE 15ML,30ML,37,5ML DE SUSP. BUV. APRES RECONSTITUTION + 01 PIPETTE GRADUEE",Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,5/31/2015,7/26/2016,Gé,F,24 MOIS,,
431,001/ 13 E 177 /05/19,13 E 177,Azithromycine Dihydratee Exprimee En Azithromycine,ZOMAX,POUDRE POUR SUSPENSION ORALE EN FLACON ,"40MG/ML  (200MG/5ML ET 300MG/7,5ML)","B/1FL. DE 15ML APRES RECONSTIT. (200MG/5ML)+UNE AMP. D'EAU PURIFIEE + UNE CUILLERE MESURE DE 5ML ET  B/1FL. DE 22,5ML APRES RECONSTIT.(300MG/7,5ML)+UNE AMP. D'EAU PURIFIEE + UNE CUILLERE MESURE DE 5ML",Liste I,HOP,OFF,,HIKMA  PHARMACEUTICALS ,JORDANIE,11/20/2005,7/6/2011,Gé,Fprémix,,,
432,035/ 13 E 299 /15,13 E 299,Azithromycine Dihydratee Exprimee En Azithromycine,ZOTRIX,COMPRIME PELLICULE SECABLE,500MG,B/03,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,7/9/2015,7/9/2015,Gé,F,24 MOIS,,
433,039/ 13 E 299 /12/18,13 E 299,Azithromycine Dihydratee Exprimee En Azithromycine,AZITHRAL,COMPRIME PELLICULE SECABLE,500MG,B/03 ,Liste I,HOP,OFF,,SOCIETE PHARMACEUTIQUE ALGERIENNE (SOPHAL),ALGERIE,2/15/2012,5/22/2018,Gé,F,24 MOIS,,
434,045/ 13 E 299 /06/13,13 E 299,Azithromycine Dihydratee Exprimee En Azithromycine,ZITHROMAX,COMPRIME PELLICULE SECABLE,500MG,B/03,Liste I,HOP,OFF,,PFIZER PHARM ALGERIE,ALGERIE,4/19/2006,10/8/2013,Ré,F,,,
435,318/13 E 299/17,13 E 299,Azithromycine Dihydratee Exprimee En Azithromycine,AZITHROMYCINE NS,COMPRIME PELLICULE SECABLE,500MG,B/03,LISTE I,HOP,OFF,,PHARMIDAL NS,ALGERIE,5/7/2017,5/7/2017,Gé,F,24 MOIS,,
436,352/ 13 E 176 /06/18,13 E 176,Azithromycine Dihydratee Exprimee En Azithromycine,ZETRON,GLES.,250MG,B/06,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,7/31/2006,4/2/2018,Gé,F,24 MOIS,,
437,352/ 13 E 299 /15,13 E 299,Azithromycine Dihydratee Exprimee En Azithromycine,ZETRON,COMPRIME PELLICULE ,500MG,B/03,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,4/26/2015,4/26/2015,Gé,F,24 MOIS,,
438,380/ 13 E 299 /12,13 E 299,Azithromycine Dihydratee Exprimee En Azithromycine,AZITHROM HUP,COMPRIME PELLICULE SECABLE,500MG,B/03,Liste I,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,5/15/2012,5/15/2012,Gé,F,,,
439,447/ 13 E 299 /13,13 E 299,Azithromycine Dihydratee Exprimee En Azithromycine,AZITHROMYCINE BEKER,COMPRIME PELLICULE SECABLE,500MG,B/03,Liste I,HOP,OFF,,BEKER SARL (SARL LABORATOIRE BEKER ALGERIE),ALGERIE,2/18/2013,2/15/2016,Gé,F,36MOIS ,,
440,468/ 13 E 176/13,13 E 176,Azithromycine Dihydratee Exprimee En Azithromycine,MYCINAD,COMPRIME PELLICULE ,250MG,B/06,LISTE I,HOP,OFF,,NADPHARMADIC PRODUCTION SARL,ALGERIE,12/18/2013,12/18/2013,Gé,Fprémix,,,
441,468/ 13 E 299 /18,13 E 299,Azithromycine Dihydratee Exprimee En Azithromycine,MYCINAD ,COMPRIME PELLICULE SECABLE,500MG,B/03,Liste I,HOP,OFF,,NADPHARMADIC production,ALGERIE,4/22/2018,4/22/2018,Gé,F,24 MOIS ,,
442,468/ 13 E 299/ 13,13 E 299,Azithromycine Dihydratee Exprimee En Azithromycine,MYCINAD,COMPRIME PELLICULE SECABLE,500MG,B/03,LISTE I,HOP,OFF,,NADPHARMADIC PRODUCTION SARL,ALGERIE,11/27/2013,11/27/2013,Gé,Fprémix,,,
443,012/ 21 E 025 /98/16,21 E 025,BACLOFENE,BACRO,COMPRIME,10MG,B/50,Liste I,HOP,OFF,,CROVIS PHILCOM,ITALIE,8/16/1998,2/22/2016,Gé,I,36 MOIS,,
444,068/ 21 E 025 /98/15,21 E 025,BACLOFENE,LIORESAL,COMPRIME SECABLE ,10MG,B/50,Liste I,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,FRANCE,12/13/1998,12/2/2015,Ré,I,36 MOIS,,
445,418/21 E 025/16,21 E 025,BACLOFENE,BACLON,COMPRIME SECABLE ,10MG,B/50,Liste I,HOP,OFF,,NEOMEDIC SARL,ALGERIE,12/4/2016,12/4/2016,Gé,F,24MOIS,,
446,052/ 20 E 043 /99,20 E 043,BALSAMIQUES POUR INHALATION,BALSOFUMINE  SIMPLE,SOL. P. INHAL.,,FL/84ML,,HOP,OFF,,SANOFI WINTHROP,FRANCE,1/4/1999,1/4/1999,Ré,I,,,
447,052/ 20 E 070 /99,20 E 070,BALSAMIQUES POUR INHALATION,BALSOFUMINE MENTHOLEE,SOL. P. INHAL.,1%,FL/84ML,,HOP,OFF,,SANOFI WINTHROP,FRANCE,1/4/1999,1/4/1999,Ré,I,,,
448,052/ 20 E 071 /99,20 E 071,BALSAMIQUES POUR INHALATION,BALSOFUMINE MENTHOLEE,SOL. P. INHAL.,4%,FL/84ML,,HOP,OFF,,SANOFI WINTHROP,FRANCE,1/4/1999,1/4/1999,Ré,I,,,
